name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Choudhury,LEI,MID,4.5,Available,0,0,0,0.0,0.4
Coady,LEI,DEF,4.0,Available,0,0,0,0.0,1.7
Daka,LEI,FWD,5.0,Available,0,0,0,0.0,1.8
De Cordova-Reid,LEI,MID,5.5,Available,1410,92,7,2.8,0.3
Faes,LEI,DEF,4.0,Available,0,0,0,0.0,8.7
Golding,LEI,MID,4.5,Available,0,0,0,0.0,0.1
Hermansen,LEI,GKP,4.5,Available,0,0,0,0.0,0.6
Iversen,LEI,GKP,4.0,Available,0,0,0,0.0,1.0
Justin,LEI,DEF,4.5,Available,0,0,0,0.0,0.5
Kristiansen,LEI,DEF,4.5,Available,0,0,0,0.0,0.2
Marcal,LEI,MID,4.5,Available,0,0,0,0.0,0.1
Mavididi,LEI,MID,5.5,Available,0,0,0,0.0,1.4
McAteer,LEI,MID,5.0,Available,0,0,0,0.0,0.1
Ndidi,LEI,MID,5.0,Available,0,0,0,0.0,0.2
Okoli,LEI,DEF,4.0,Available,0,0,0,0.0,0.3
Ricardo,LEI,DEF,4.5,Available,0,0,0,0.0,0.4
Souttar,LEI,DEF,4.0,Available,0,0,0,0.0,0.3
Stolarczyk,LEI,GKP,4.0,Injured,0,0,0,0.0,0.1
Thomas,LEI,DEF,4.0,Available,916,7,0,0.6,0.6
Vardy,LEI,FWD,5.5,Available,0,0,0,0.0,6.3
Vestergaard,LEI,DEF,4.0,Available,0,0,0,0.0,2.0
Ward,LEI,GKP,4.0,Available,0,0,0,0.0,2.8
Winks,LEI,MID,4.5,Available,0,0,0,0.0,11.0
A.Fatawu,LEI,MID,5.5,Available,0,0,0,0.0,0.5
A.Becker,LIV,GKP,5.5,Available,2520,107,9,3.8,10.9
Alexander-Arnold,LIV,DEF,7.0,Available,2153,122,19,4.4,21.2
Bajcetic,LIV,MID,4.5,Available,25,1,0,1.0,0.2
Bradley,LIV,DEF,5.0,Available,752,50,7,4.5,0.8
Carvalho,LIV,MID,5.0,Available,0,0,0,0.0,0.1
Clark,LIV,MID,4.5,Available,86,5,0,1.0,0.1
Darwin,LIV,FWD,7.5,Available,2033,132,9,3.7,7.9
Diogo J.,LIV,MID,7.5,Available,1141,110,7,5.2,3.0
Doak,LIV,MID,4.5,Available,13,1,0,1.0,0.1
Elliott,LIV,MID,5.5,Available,1330,96,8,2.8,0.8
Endo,LIV,MID,5.0,Available,1714,47,0,1.6,0.2
Gakpo,LIV,FWD,7.5,Available,1633,106,12,3.0,7.7
Gomez,LIV,DEF,5.0,Available,1772,76,2,2.4,0.6
Gravenberch,LIV,MID,5.0,Available,1110,45,3,1.7,0.1
Jones,LIV,MID,5.5,Available,1156,40,2,1.7,0.2
Kelleher,LIV,GKP,4.5,Available,900,34,3,3.4,0.4
Konaté,LIV,DEF,5.0,Available,1570,56,2,2.5,2.0
Luis Díaz,LIV,MID,7.5,Available,2625,142,9,3.8,6.8
M.Salah,LIV,MID,12.5,Available,2531,211,24,6.6,33.5
Mac Allister,LIV,MID,6.5,Available,2600,109,12,3.3,2.8
McConnell,LIV,MID,4.5,Available,3,3,0,1.0,0.0
Morton,LIV,MID,4.5,Available,0,0,0,0.0,0.0
N.Phillips,LIV,DEF,4.0,Available,0,0,0,0.0,0.2
Quansah,LIV,DEF,4.5,Available,1188,49,5,2.9,0.6
R.Williams,LIV,DEF,4.0,Available,0,0,0,0.0,0.2
Robertson,LIV,DEF,6.0,Available,1689,76,8,3.3,6.3
Szoboszlai,LIV,MID,6.5,Available,2102,99,7,3.0,2.7
Tsimikas,LIV,DEF,5.0,Available,675,48,4,3.7,0.3
Van den Berg,LIV,DEF,4.0,Available,0,0,0,0.0,0.4
Virgil,LIV,DEF,6.0,Available,3177,117,8,3.2,11.5
Akanji,MCI,DEF,5.5,Available,2512,112,8,3.7,4.0
Aké,MCI,DEF,5.5,Available,2039,99,6,3.4,3.0
Bernardo,MCI,MID,6.5,Available,2576,141,20,4.3,2.8
Bobb,MCI,MID,5.0,Available,294,30,2,2.1,0.4
Carson,MCI,GKP,4.0,Available,0,0,0,0.0,0.2
De Bruyne,MCI,MID,9.5,Available,1219,98,11,5.4,7.0
Doku,MCI,MID,6.5,Available,1585,98,13,3.4,3.2
Ederson M.,MCI,GKP,5.5,Available,2785,112,5,3.4,5.9
Foden,MCI,MID,9.5,Available,2860,230,31,6.6,31.1
Grealish,MCI,MID,6.5,Available,998,50,6,2.5,0.5
Gvardiol,MCI,DEF,6.0,Available,2327,123,12,4.4,32.3
Haaland,MCI,FWD,15.0,Available,2553,217,29,7.0,36.1
J.Alvarez,MCI,FWD,7.0,Available,2644,158,17,4.4,3.1
João Cancelo,MCI,DEF,5.5,Available,0,0,0,0.0,1.2
Kovačić,MCI,MID,5.5,Available,1539,59,2,2.0,0.2
Lewis,MCI,DEF,4.5,Available,804,52,2,3.2,0.3
Matheus N.,MCI,MID,5.0,Available,831,32,1,1.7,0.0
McAtee,MCI,MID,5.0,Available,1815,77,0,2.5,0.0
Ortega Moreno,MCI,GKP,5.5,Available,632,22,2,2.4,2.1
Phillips,MCI,MID,5.0,Available,394,10,0,0.8,0.1
Rodrigo,MCI,MID,6.5,Available,2931,159,19,4.7,7.5
Rúben,MCI,DEF,5.5,Available,2557,88,3,2.9,3.0
Stones,MCI,DEF,5.5,Available,1061,53,3,3.3,2.7
Walker,MCI,DEF,5.5,Available,2766,123,13,3.8,9.2
Sávio,MCI,MID,6.5,Available,0,0,0,0.0,0.6
Amad,MUN,MID,5.0,Available,385,23,3,2.6,0.9
Antony,MUN,MID,6.0,Available,1311,47,0,1.6,0.3
B.Fernandes,MUN,MID,8.5,Available,3118,166,24,4.7,14.3
Bayindir,MUN,GKP,4.5,Available,0,0,0,0.0,0.2
Casemiro,MUN,MID,5.0,Available,1981,58,0,2.3,0.3
Dalot,MUN,DEF,5.0,Available,3174,111,13,3.1,6.4
Eriksen,MUN,MID,5.5,Available,1134,48,4,2.2,0.2
Evans,MUN,DEF,4.5,Available,1389,49,3,2.1,0.2
Garnacho,MUN,MID,6.5,Available,2564,131,7,3.6,11.9
Hannibal,MUN,MID,4.5,Available,131,11,0,2.2,0.1
Heaton,MUN,GKP,4.0,Available,0,0,0,0.0,0.2
Højlund,MUN,FWD,7.0,Available,2156,112,14,3.7,6.4
Lindelof,MUN,DEF,4.5,Available,1328,62,7,3.3,0.2
